,emoji,sentiment
1221,👈🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.029, NEG: 0.008})"
1222,👩‍🚀,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.084, NEG: 0.007})"
1223,💑,"AnalyzerOutput(output=NEU, probas={NEU: 0.833, POS: 0.163, NEG: 0.004})"
1224,🕐,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.041, NEG: 0.008})"
1225,🚐,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.064, NEG: 0.008})"
1226,🛠️,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.041, NEG: 0.011})"
1227,🤙🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.064, NEG: 0.004})"
1228,🤦🏿‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1229,🤲🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.050, NEG: 0.004})"
1230,🤲🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.049, NEG: 0.005})"
1231,⏪,"AnalyzerOutput(output=NEU, probas={NEU: 0.832, POS: 0.164, NEG: 0.004})"
1232,🏃🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1233,🏊‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1234,🏒,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.069, NEG: 0.006})"
1235,👩🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.037, NEG: 0.008})"
1236,👩🏽‍💻,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.058, NEG: 0.006})"
1237,👷‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1238,💃🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.059, NEG: 0.004})"
1239,🔱,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.054, NEG: 0.007})"
1240,🙋🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1241,🛩️,"AnalyzerOutput(output=NEU, probas={NEU: 0.915, POS: 0.079, NEG: 0.006})"
1242,🤱🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, NEG: 0.074, POS: 0.014})"
1243,🥄,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.077, NEG: 0.013})"
1244,🦹🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1245,〽️,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.040, NEG: 0.007})"
1246,🇭🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.056, NEG: 0.009})"
1247,🇸🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.023, NEG: 0.012})"
1248,👨🏼‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.033, NEG: 0.007})"
1249,👩🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.040, NEG: 0.008})"
1250,🖌️,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.089, NEG: 0.006})"
1251,🚊,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.079, NEG: 0.009})"
1252,🤟🏽,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.031, NEG: 0.001})"
1253,🧑🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.030, NEG: 0.006})"
1254,🧙‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1255,🧚‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1256,👜,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.083, NEG: 0.008})"
1257,👧🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.045, NEG: 0.005})"
1258,👩🏿‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.052, NEG: 0.006})"
1259,📶,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.081, NEG: 0.008})"
1260,🕛,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.029, NEG: 0.011})"
1261,🙆🏾‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1262,🤶,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.072, NEG: 0.008})"
1263,🥖,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.067, NEG: 0.007})"
1264,🦵,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.047, NEG: 0.010})"
1265,㊗️,"AnalyzerOutput(output=POS, probas={POS: 0.858, NEU: 0.141, NEG: 0.002})"
1266,🌒,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.063, NEG: 0.006})"
1267,🏈,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.043, NEG: 0.007})"
1268,👔,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.091, NEG: 0.007})"
1269,🔯,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.082, NEG: 0.006})"
1270,🚭,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.063, NEG: 0.021})"
1271,🤰🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.971, NEG: 0.016, POS: 0.013})"
1272,🦶,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.051, NEG: 0.010})"
1273,🧒,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.070, NEG: 0.011})"
1274,🧘‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1275,🧳,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.066, NEG: 0.007})"
1276,⏺️,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.075, NEG: 0.006})"
1277,☦️,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.043, NEG: 0.009})"
1278,🇬🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.034, NEG: 0.010})"
1279,🇲🇨,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.046, NEG: 0.009})"
1280,🍚,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.055, NEG: 0.007})"
1281,🏃🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1282,👙,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.063, NEG: 0.009})"
1283,👩🏻‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.034, NEG: 0.009})"
1284,💁🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1285,🗒️,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.053, NEG: 0.006})"
1286,🚵‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1287,🚾,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.060, NEG: 0.007})"
1288,🛍️,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.069, NEG: 0.006})"
1289,🤹,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.071, NEG: 0.007})"
1290,🧴,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.073, NEG: 0.006})"
1291,◼️,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.040, NEG: 0.010})"
1292,🅰️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1293,🇭🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.026, NEG: 0.007})"
1294,🍱,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.078, NEG: 0.006})"
1295,👨‍⚕️,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.031, NEG: 0.010})"
1296,👨🏻‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.034, NEG: 0.009})"
1297,👩‍❤️‍💋‍👩,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.036, NEG: 0.005})"
1298,👩🏻‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.064, NEG: 0.005})"
1299,👷,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.039, NEG: 0.010})"
1300,💅🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.056, NEG: 0.004})"
1301,🔲,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.039, NEG: 0.008})"
1302,🕌,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.030, NEG: 0.019})"
1303,🕙,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.038, NEG: 0.009})"
1304,🖇️,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.043, NEG: 0.008})"
1305,🙆🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1306,🤦🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.787, NEG: 0.200, POS: 0.013})"
1307,🥉,"AnalyzerOutput(output=NEU, probas={NEU: 0.857, POS: 0.139, NEG: 0.004})"
1308,🦛,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.050, NEG: 0.008})"
1309,🇧🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.875, POS: 0.115, NEG: 0.010})"
1310,🇱🇻,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.055, NEG: 0.009})"
1311,🇹🇻,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.050, NEG: 0.008})"
1312,🌁,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.036, NEG: 0.033})"
1313,🌖,"AnalyzerOutput(output=NEU, probas={NEU: 0.828, NEG: 0.152, POS: 0.020})"
1314,🏰,"AnalyzerOutput(output=NEU, probas={NEU: 0.877, POS: 0.117, NEG: 0.006})"
1315,👧🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.055, NEG: 0.006})"
1316,👩🏻‍🌾,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.032, NEG: 0.007})"
1317,👩🏼‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.054, NEG: 0.005})"
1318,💅🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.063, NEG: 0.005})"
1319,🤜🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.039, NEG: 0.006})"
1320,🤟🏾,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.037, NEG: 0.001})"
1321,🥞,"AnalyzerOutput(output=NEU, probas={NEU: 0.878, POS: 0.115, NEG: 0.008})"
1322,🦂,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.065, NEG: 0.007})"
1323,🧷,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.063, NEG: 0.006})"
1324,☝🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.024, NEG: 0.007})"
1325,⚗️,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.041, NEG: 0.011})"
1326,⛑️,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.028, NEG: 0.005})"
1327,✋️,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.088, NEG: 0.006})"
1328,🇧🇧,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.057, NEG: 0.010})"
1329,🇧🇫,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.020, NEG: 0.014})"
1330,🇧🇭,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.099, NEG: 0.009})"
1331,🇩🇯,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.023, NEG: 0.017})"
1332,🇪🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.099, NEG: 0.009})"
1333,🇰🇭,"AnalyzerOutput(output=NEU, probas={NEU: 0.890, POS: 0.101, NEG: 0.009})"
1334,🇰🇵,"AnalyzerOutput(output=NEU, probas={NEU: 0.899, NEG: 0.089, POS: 0.012})"
1335,🇹🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.898, POS: 0.097, NEG: 0.005})"
1336,🇻🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.034, NEG: 0.010})"
1337,🌔,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.056, NEG: 0.006})"
1338,🍧,"AnalyzerOutput(output=NEU, probas={NEU: 0.870, POS: 0.126, NEG: 0.004})"
1339,🍶,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.064, NEG: 0.008})"
1340,🎗️,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.066, NEG: 0.005})"
1341,🏄‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1342,🏇,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.046, NEG: 0.007})"
1343,🏐,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.067, NEG: 0.008})"
1344,👨🏻‍💻,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.057, NEG: 0.006})"
1345,👩‍👩‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.046, NEG: 0.010})"
1346,📓,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.074, NEG: 0.010})"
1347,📿,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.073, NEG: 0.007})"
1348,🕒,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.038, NEG: 0.008})"
1349,🕚,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.035, NEG: 0.009})"
1350,🚈,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.054, NEG: 0.007})"
1351,🤚🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.052, NEG: 0.005})"
1352,#️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.058, NEG: 0.006})"
1353,⚘️,"AnalyzerOutput(output=NEU, probas={NEU: 0.854, POS: 0.116, NEG: 0.030})"
1354,🇺🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.023, NEG: 0.013})"
1355,🏄,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.090, NEG: 0.005})"
1356,👨‍👩‍👧‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.054, NEG: 0.007})"
1357,👨🏻‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.070, NEG: 0.005})"
1358,👩🏼‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.032, NEG: 0.008})"
1359,👸🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.074, NEG: 0.005})"
1360,🔞,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, NEG: 0.051, POS: 0.015})"
1361,🕶️,"AnalyzerOutput(output=NEU, probas={NEU: 0.888, POS: 0.106, NEG: 0.006})"
1362,🚋,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.088, NEG: 0.007})"
1363,🚱,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, NEG: 0.035, POS: 0.019})"
1364,🚷,"AnalyzerOutput(output=NEU, probas={NEU: 0.716, NEG: 0.271, POS: 0.013})"
1365,🤛🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.030, NEG: 0.006})"
1366,🤰,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, NEG: 0.058, POS: 0.018})"
1367,🥪,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.080, NEG: 0.010})"
1368,🦸‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1369,🧜‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1370,🧯,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, NEG: 0.056, POS: 0.025})"
1371,⛷️,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.058, NEG: 0.008})"
1372,✋🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.042, NEG: 0.006})"
1373,🇨🇾,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.035, NEG: 0.010})"
1374,🇬🇾,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.032, NEG: 0.010})"
1375,🇰🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.034, NEG: 0.012})"
1376,🇰🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.888, POS: 0.103, NEG: 0.009})"
1377,🌂,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.029, NEG: 0.019})"
1378,🎱,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.062, NEG: 0.006})"
1379,🏨,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.068, NEG: 0.010})"
1380,👨‍👩‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.060, NEG: 0.007})"
1381,👨🏻‍🚀,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.066, NEG: 0.005})"
1382,👩‍👩‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.050, NEG: 0.009})"
1383,👩‍🦰,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.038, NEG: 0.009})"
1384,👩🏽‍🌾,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.031, NEG: 0.008})"
1385,👩🏿‍⚕️,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.025, NEG: 0.009})"
1386,👱🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1387,💁🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1388,🔉,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.060, NEG: 0.007})"
1389,🕎,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.097, NEG: 0.007})"
1390,🕰️,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.055, NEG: 0.007})"
1391,🕵️,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.068, NEG: 0.008})"
1392,🕵️‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1393,🖱️,"AnalyzerOutput(output=NEU, probas={NEU: 0.879, POS: 0.114, NEG: 0.007})"
1394,🙅‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1395,🦝,"AnalyzerOutput(output=NEU, probas={NEU: 0.908, POS: 0.084, NEG: 0.008})"
1396,🧔🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.044, NEG: 0.006})"
1397,☪️,"AnalyzerOutput(output=NEU, probas={NEU: 0.885, POS: 0.110, NEG: 0.005})"
1398,🅱️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1399,🇧🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.897, POS: 0.094, NEG: 0.010})"
1400,🇬🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, POS: 0.100, NEG: 0.009})"
1401,🇲🇫,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.050, NEG: 0.006})"
1402,🇲🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.044, NEG: 0.009})"
1403,🌥️,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.050, NEG: 0.005})"
1404,🏃🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.025, NEG: 0.007})"
1405,🏃🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1406,🏏,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.071, NEG: 0.007})"
1407,🏷️,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.051, NEG: 0.013})"
1408,👩‍👩‍👧‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.044, NEG: 0.010})"
1409,👩🏻‍⚖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, NEG: 0.042, POS: 0.013})"
1410,👩🏽‍🚀,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.054, NEG: 0.005})"
1411,👩🏿‍🦱,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.040, NEG: 0.007})"
1412,👯‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1413,📼,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, POS: 0.107, NEG: 0.006})"
1414,🔅,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.054, NEG: 0.008})"
1415,🕘,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.033, NEG: 0.009})"
1416,🕵,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.068, NEG: 0.008})"
1417,🚴🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1418,🦸🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1419,🧓,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.052, NEG: 0.008})"
1420,🧘,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.055, NEG: 0.004})"
1421,🆒,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.069, NEG: 0.002})"
1422,🇱🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.026, NEG: 0.013})"
1423,🇷🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.041, NEG: 0.011})"
1424,🇸🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.041, NEG: 0.010})"
1425,🍝,"AnalyzerOutput(output=NEU, probas={NEU: 0.869, POS: 0.123, NEG: 0.008})"
1426,🎅🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.901, POS: 0.094, NEG: 0.005})"
1427,🎡,"AnalyzerOutput(output=NEU, probas={NEU: 0.858, POS: 0.138, NEG: 0.004})"
1428,🎦,"AnalyzerOutput(output=NEU, probas={NEU: 0.816, POS: 0.179, NEG: 0.005})"
1429,🏚️,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.025, NEG: 0.014})"
1430,👨‍🚒,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.074, NEG: 0.006})"
1431,👷‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1432,📐,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.063, NEG: 0.009})"
1433,🕑,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.035, NEG: 0.010})"
1434,🗝️,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.035, NEG: 0.012})"
1435,🗯️,"AnalyzerOutput(output=NEU, probas={NEU: 0.807, NEG: 0.177, POS: 0.017})"
1436,🙅🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1437,🙆🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1438,🙇🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1439,🚶🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1440,🚺,"AnalyzerOutput(output=NEU, probas={NEU: 0.971, NEG: 0.015, POS: 0.014})"
1441,🤛🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.032, NEG: 0.006})"
1442,🧕,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.022, NEG: 0.015})"
1443,🧞,"AnalyzerOutput(output=NEU, probas={NEU: 0.874, POS: 0.120, NEG: 0.006})"
1444,🧥,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.055, NEG: 0.010})"
1445,Ⓜ️,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.044, NEG: 0.006})"
1446,🇹🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.036, NEG: 0.007})"
1447,🌉,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.062, NEG: 0.006})"
1448,🌘,"AnalyzerOutput(output=NEU, probas={NEU: 0.883, NEG: 0.101, POS: 0.016})"
1449,🎑,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.077, NEG: 0.004})"
1450,🏂,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.071, NEG: 0.007})"
1451,👩‍🍳,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.051, NEG: 0.008})"
1452,👵🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.023, NEG: 0.013})"
1453,📒,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.071, NEG: 0.006})"
1454,🙆🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1455,🙆🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1456,🚣,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.067, NEG: 0.005})"
1457,🤘🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.970, POS: 0.024, NEG: 0.007})"
1458,🥣,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.063, NEG: 0.009})"
1459,🥫,"AnalyzerOutput(output=NEU, probas={NEU: 0.885, POS: 0.109, NEG: 0.006})"
1460,🧑🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.037, NEG: 0.005})"
1461,🧑🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.045, NEG: 0.006})"
1462,🧾,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.051, NEG: 0.011})"
1463,🇲🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.028, NEG: 0.010})"
